SECTOR PRINCIPAL,TOTAL CONTACTOS
Publicidad y Relaciones Publicas,1
Hoteleria,1
Organización Social,1
Comercio Exterior,1
"Refinación, Petroquímica y Procesos",1
Residuos,2
Petroquímica,3
Derivados,3
Hidráulica,3
Estilo de Vida,4
Telecomunicaciones,4
Automotriz,7
Ferretería,7
Eficiencia Energética,8
Química,9
Asociación,14
SIN ASIGNACION,14
Servicios Legales y Consultoria,16
Salud,17
Financiero,18
Industria Química,23
Comercializadora,31
Tercerización de Servicios,39
Industria Manufacturera,45
Construcción,47
Energía Eléctrica,49
Transporte y Logística,63
Energía Renovable,74
Digitalización,76
Gubernamental,83
Industrial,105
Minería,207
RETAIL,220
Oil & Gas,381
